food_name_fake,food_name,food_group_fake,food_group,default_days_to_exp
Swiss chard,swiss chard,Vegetable,vegetable,4
Tabasco Pepper,tabasco pepper,Vegetable,vegetable,10
Taro,taro,Vegetable,vegetable,4
Tronchuda cabbage,tronchuda cabbage,Vegetable,vegetable,10
water chestnut,water chestnut,Vegetable,vegetable,10
White cabbage,white cabbage,Vegetable,vegetable,10
Wild carrot,wild carrot,Vegetable,vegetable,30
Wild leek,wild leek,Vegetable,vegetable,10
Yam,yam,Vegetable,vegetable,7
Yellow bell pepper,yellow bell pepper,Vegetable,vegetable,14
